Hombres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,7094,6861,7013,7130,7249,7371,7438,7415,7360,7236,7019,6683,6286,5999,5733,5495,5296,5117,4983,5135,4993,4614,4519,4456,4400,4339,4274,4211,4081,3948,3809,3661,3521,3393,3304,3228,3151,3073,2999,2935,2867,2785,2693,2569,2451,2369
1,1195,1124,1106,1077,1033,975,910,836,769,708,653,603,545,509,487,477,464,446,432,397,381,379,369,359,345,329,312,303,289,280,268,254,241,228,219,215,210,209,206,207,210,213,221,214,209,207
2,648,555,538,521,499,471,443,414,389,367,344,322,294,275,260,250,241,229,223,206,198,196,186,176,165,152,144,135,130,124,119,116,114,111,111,108,108,107,103,101,97,93,90,85,84,80
3,431,345,331,320,306,292,277,265,254,244,232,218,204,189,179,170,161,154,148,141,136,132,126,116,107,100,91,87,82,77,75,74,74,75,74,74,74,74,73,70,64,61,53,53,51,48
4,332,256,246,239,229,218,211,205,199,196,191,180,167,155,144,138,129,123,121,116,111,106,103,94,86,79,74,69,66,62,60,60,60,61,61,62,62,61,62,60,56,51,43,44,41,39
5,247,184,176,171,165,155,154,155,153,157,159,154,143,130,120,112,103,99,99,96,93,87,82,77,70,66,58,55,53,52,50,49,51,52,50,52,50,52,51,52,47,41,35,36,35,32
6,202,146,141,138,133,127,128,128,129,131,134,129,122,111,104,98,89,87,85,83,80,78,74,68,62,58,55,51,49,49,45,44,46,47,46,49,49,47,47,48,46,41,33,34,32,31
7,170,122,118,116,112,108,109,111,110,116,119,114,110,101,92,88,81,78,78,76,74,71,68,62,60,55,53,50,48,47,44,45,45,46,45,46,46,45,46,45,43,39,34,33,32,33
8,148,105,102,102,99,95,97,99,101,105,108,104,101,92,86,81,78,74,75,73,69,66,65,60,57,54,53,48,49,48,46,46,45,46,45,46,46,45,46,46,44,40,35,34,36,34
9,131,93,91,90,89,88,89,91,94,99,100,100,94,88,83,81,76,73,73,71,70,67,64,61,59,57,54,50,49,48,47,46,47,47,48,48,49,48,49,49,47,42,37,37,36,38
10,120,84,84,85,84,82,84,89,89,93,97,96,93,87,84,80,75,74,74,71,69,67,66,63,61,58,55,55,53,52,49,48,51,52,50,51,51,51,51,51,51,46,42,42,42,42
11,112,79,79,81,80,81,84,87,90,94,99,97,96,91,85,83,78,76,78,75,73,71,70,68,65,62,61,58,57,55,53,53,55,56,57,57,56,58,59,59,56,54,49,46,46,48
12,107,76,77,80,81,82,86,90,91,97,101,102,101,96,91,91,86,83,83,82,81,78,78,76,71,70,69,66,64,63,60,59,61,62,62,64,64,65,67,67,66,62,56,56,55,55
13,105,76,78,81,84,84,90,95,98,105,110,110,107,104,99,98,93,92,96,95,93,88,87,85,82,82,77,76,74,72,70,70,72,74,73,74,76,76,80,82,81,76,69,70,69,69
14,104,77,80,84,89,90,96,102,105,114,119,118,118,114,112,111,106,104,106,107,104,103,101,99,94,95,89,89,86,84,83,82,84,86,85,89,90,93,95,97,98,93,86,84,83,82
15,104,79,83,89,93,96,104,110,116,123,131,131,132,126,123,123,119,119,121,121,121,118,115,114,111,109,106,101,100,100,96,94,96,99,99,102,105,108,115,118,118,114,106,104,104,101
16,106,82,87,93,98,103,112,120,125,135,144,144,145,141,138,138,132,132,136,136,138,135,132,129,126,125,121,119,116,115,109,110,113,116,114,119,120,127,135,140,144,139,130,127,125,122
17,108,85,91,98,105,110,120,130,136,147,157,159,158,155,152,152,147,145,151,153,152,150,150,147,146,144,137,134,134,129,126,124,127,133,131,138,138,146,156,167,168,165,156,153,149,146
18,109,88,95,102,110,117,128,139,148,159,171,174,173,169,166,166,161,161,166,169,170,168,167,165,162,161,154,151,148,145,140,140,143,149,149,154,158,166,178,189,196,190,185,182,178,172
19,110,92,99,107,116,123,135,148,157,170,183,185,186,182,179,178,172,174,180,184,183,182,185,184,182,179,174,167,166,162,154,154,159,163,162,172,175,186,199,211,221,216,211,208,202,198
20,112,96,102,112,120,128,142,156,164,180,194,199,200,195,191,192,185,185,193,196,196,198,199,200,197,198,190,185,182,177,169,167,172,178,178,187,191,203,218,233,243,240,234,233,228,224
21,115,99,106,116,125,134,148,162,173,190,205,210,212,207,204,204,197,197,206,207,209,211,213,214,214,214,206,202,196,191,181,178,182,188,190,199,205,216,235,251,263,260,255,255,253,248
