Hombres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,1055623,1077894,1098939,1116589,1130312,1140057,1144271,1144794,1145704,1147611,1150552,1154601,1159521,1164455,1169039,1173308,1177204,1180943,1184758,1187417,1189986,1194048,1197083,1198088,1196818,1192057,1184996,1178059,1171390,1164961,1159750,1155616,1151741,1148944,1147620,1145504,1142347,1140604,1140177,1140454,1140359,1139454,1138128,1135685,1132616,1127945
1,994138,1018704,1042768,1065007,1083903,1098927,1110031,1115782,1118323,1121609,1125820,1130961,1137145,1143731,1149806,1155346,1160407,1164986,1169470,1173565,1176522,1179557,1184247,1188600,1189993,1188974,1185165,1178888,1172005,1165586,1159606,1154157,1150211,1147296,1145956,1146308,1145575,1143549,1141404,1140500,1139925,1138135,1136252,1134373,1131793,1128698
2,955699,981023,1006245,1030697,1053459,1073045,1088842,1100699,1107345,1110863,1114919,1119737,1125414,1131827,1138333,1144329,1149822,1154872,1159537,1164193,1168465,1170809,1173534,1179157,1183677,1185223,1184916,1181639,1175173,1168337,1162059,1155592,1150271,1147025,1145230,1145291,1146946,1147354,1145138,1142691,1141350,1139703,1137174,1134748,1132637,1129973
3,921979,947141,973026,998413,1023110,1046212,1066198,1082378,1094717,1101923,1105892,1110291,1115398,1121131,1127391,1133755,1139640,1145060,1150095,1154793,1159502,1163061,1164972,1168455,1174183,1178832,1180983,1181157,1177685,1171256,1164481,1157724,1151457,1146748,1144401,1143782,1145084,1147867,1148299,1145952,1143275,1141207,1138979,1135981,1133343,1131160
4,890906,915264,940862,966795,992287,1017168,1040495,1060690,1077153,1089815,1097276,1101443,1105997,1111106,1116707,1122834,1129103,1134923,1140290,1145300,1149991,1153968,1157026,1159531,1163096,1168933,1174142,1176814,1176800,1173350,1166961,1159803,1153275,1147535,1143548,1142145,1142682,1145089,1148095,1148565,1146115,1142944,1140362,1137776,1134680,1131968
5,861679,885216,909897,935474,961438,987031,1012033,1035465,1055819,1072453,1085215,1092756,1096995,1101529,1106545,1112046,1118100,1124328,1130078,1135377,1140340,1144342,1147813,1151310,1153885,1157580,1163911,1169623,1172142,1172173,1168756,1162075,1155200,1149088,1143871,1140622,1140289,1141897,1144682,1147875,1148363,1145614,1142051,1139182,1136507,1133340
6,833717,856770,880549,905166,930720,956719,982365,1007403,1030901,1051303,1067930,1080678,1088201,1092400,1096874,1101810,1107260,1113295,1119444,1125097,1130319,1134640,1138146,1141935,1145484,1148200,1152346,1159148,1164728,1167310,1167359,1163717,1157371,1150820,1145069,1140414,1138165,1138876,1141001,1144092,1147393,1147729,1144684,1140894,1137950,1135202
7,806574,829339,852580,876272,900838,926385,952391,978034,1003074,1026533,1046857,1063396,1076053,1083505,1087659,1092072,1096978,1102420,1108381,1114417,1119969,1124604,1128449,1132168,1135985,1139685,1142801,1147398,1154093,1159743,1162327,1162207,1158938,1152854,1146536,1141213,1137503,1136269,1137602,1140150,1143409,1146661,1146771,1143549,1139688,1136674
8,779860,802599,825515,848657,872278,896811,922338,948315,973919,998872,1022200,1042387,1058788,1071340,1078742,1082846,1087239,1092139,1097508,1103347,1109264,1114285,1118465,1122427,1126167,1130140,1134176,1137717,1142235,1149009,1154634,1157108,1157406,1154352,1148406,1142424,1137997,1135276,1134766,1136609,1139352,1142630,1145710,1145674,1142396,1138469
9,753097,776204,799065,821876,844932,868513,893016,918497,944413,969910,994708,1017872,1037892,1054162,1066638,1073973,1078052,1082439,1087264,1092505,1098220,1103656,1108244,1112468,1116438,1120330,1124592,1129007,1132484,1137090,1143819,1149388,1152333,1152819,1149829,1144161,1139050,1135586,1133670,1133740,1135788,1138585,1141729,1144687,1144598,1141251
