Mujeres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,1025942,1047406,1067421,1084414,1097608,1106958,1110962,1111375,1112124,1113774,1116375,1119999,1124426,1128826,1132872,1136630,1140058,1143366,1146750,1149266,1151694,1155348,1157879,1158190,1156543,1151881,1145101,1138003,1130610,1123825,1119465,1116191,1112416,1109310,1107419,1105074,1101840,1100013,1100319,1100917,1100510,1099740,1097960,1095565,1092977,1088173
1,969309,993323,1016413,1037541,1055675,1070063,1080677,1086113,1088394,1091311,1095035,1099590,1105094,1110924,1116221,1120993,1125337,1129266,1133143,1136741,1139494,1142680,1146983,1149830,1150047,1148821,1145308,1138799,1130378,1122459,1117538,1114596,1111847,1108820,1106510,1106011,1104956,1102771,1101922,1102461,1101748,1099855,1097525,1095374,1093570,1090578
2,931845,956613,981313,1004815,1026479,1045293,1060447,1071825,1078171,1081444,1085158,1089530,1094649,1100395,1106162,1111364,1116057,1120343,1124301,1128283,1132006,1134626,1137780,1142147,1144823,1145437,1145021,1141628,1133971,1124942,1118168,1114168,1111697,1109490,1106901,1105697,1106469,1106475,1105060,1104309,1103879,1101967,1099006,1096378,1094410,1092172
3,898960,923610,948965,973867,997655,1019692,1038939,1054522,1066423,1073355,1077119,1081229,1085923,1091142,1096773,1102396,1107465,1112031,1116244,1120178,1124154,1127612,1130117,1133246,1137424,1140466,1141712,1141373,1137100,1128936,1120649,1114575,1111082,1109101,1107164,1105465,1105446,1107236,1107935,1106563,1105078,1103718,1101028,1097821,1095205,1092829
4,868708,892637,917735,943176,968254,992293,1014590,1034103,1050014,1062277,1069508,1073516,1077827,1082563,1087683,1093195,1098697,1103649,1108116,1112247,1116118,1119772,1123066,1125496,1128457,1132972,1136541,1137905,1136907,1132222,1124543,1116830,1111266,1108213,1106362,1105111,1104498,1105437,1107868,1108628,1106748,1104574,1102601,1099675,1096403,1093433
5,840334,863481,887717,912832,938414,963676,987859,1010334,1030058,1046181,1058594,1065962,1070085,1074408,1079076,1084102,1089520,1094937,1099779,1104132,1108162,1111690,1115174,1118364,1120645,1123929,1128876,1132583,1133469,1132170,1127793,1120581,1113387,1108202,1105146,1103792,1103520,1103804,1105356,1107885,1108341,1105996,1103364,1101118,1098055,1094508
6,813255,835929,859303,883521,908727,934431,959778,984073,1006677,1026514,1042701,1055170,1062585,1066705,1070975,1075569,1080524,1085871,1091172,1095878,1100107,1103793,1107158,1110527,1113591,1116184,1119830,1124923,1128286,1128939,1127789,1123776,1117103,1110254,1105011,1102357,1101951,1102553,1103452,1105137,1107459,1107585,1104870,1101922,1099512,1096210
7,787020,809414,832280,855616,879888,905169,930919,956333,980712,1003374,1023234,1039439,1051911,1059298,1063375,1067586,1072114,1077005,1082238,1087394,1091963,1095856,1099390,1102636,1105906,1109276,1112175,1115976,1120818,1123995,1124661,1123776,1120316,1113993,1107098,1102245,1100556,1101021,1102262,1103335,1104827,1106855,1106648,1103596,1100489,1097888
8,761212,783610,806165,828986,852347,876666,901971,927768,953232,977637,1000296,1020142,1036315,1048739,1056075,1060095,1064243,1068715,1073496,1078577,1083589,1087831,1091576,1094993,1098167,1101725,1105341,1108393,1112033,1116728,1119797,1120656,1120349,1117242,1110869,1104355,1100460,1099634,1100751,1102191,1103094,1104329,1106062,1105524,1102329,1099080
9,735303,758140,780683,803187,826013,849409,873740,899080,924905,950375,974760,997386,1017180,1033289,1045648,1052911,1056869,1060957,1065320,1069944,1074874,1079568,1083672,1087301,1090658,1094104,1097860,1101610,1104569,1108101,1112593,1115804,1117269,1117313,1114149,1108142,1102571,1099512,1099339,1100689,1101978,1102654,1103633,1105072,1104399,1101068
10,708981,732520,755482,777971,800474,823324,846730,871088,896444,922266,947711,972050,994613,1014332,1030356,1042622,1049809,1053703,1057674,1061876,1066347,1070974,1075537,1079522,1083100,1086713,1090304,1094181,1097880,1100767,1104019,1108612,1112456,1114280,1114259,1111425,1106331,1101561,1099144,1099218,1100436,1101537,1101999,1102725,1104030,1103231
11,682098,706433,730088,752997,775481,798003,820867,844290,868668,894022,919813,945205,969477,991947,1011561,1027478,1039645,1046751,1050521,1054335,1058382,1062561,1067064,1071505,1075449,1079262,1082980,1086670,1090526,1094182,1096727,1100060,1105312,1109509,1111260,1111544,1109588,1105249,1101081,1098907,1098874,1099938,1100860,1101091,1101694,1102881
12,654731,679709,704158,727755,750658,773158,795698,818580,842027,866399,891719,917456,942773,966941,989292,1008777,1024574,1036634,1043602,1047208,1050863,1054632,1058696,1063078,1067481,1071640,1075519,1079317,1083019,1086852,1090127,1092753,1096775,1102381,1106502,1108534,1109664,1108431,1104632,1100673,1098409,1098255,1099171,1099879,1099984,1100463
13,627127,652357,677438,701814,725396,748315,770829,793389,816291,839730,864057,889312,914960,940155,964180,986378,1005709,1021366,1033255,1040034,1043466,1046830,1050478,1054408,1058754,1063369,1067562,1071510,1075351,1079046,1082518,1085948,1089315,1093710,1099227,1103609,1106498,1108358,1107610,1103970,1099945,1097595,1097314,1098023,1098594,1098565
14,599537,624513,649812,674795,699138,722715,745632,768157,790725,813608,836987,861237,886371,911861,936861,960671,982659,1001795,1017220,1028854,1035405,1038498,1041718,1045199,1049094,1053674,1058282,1062537,1066583,1070434,1073845,1077645,1081939,1085733,1090008,1095788,1101117,1104826,1107208,1106631,1102950,1098867,1096412,1095924,1096476,1096891
15,572161,596426,621425,646585,671482,695782,719331,742239,764759,787286,810085,833350,857436,882354,907569,932275,955786,977482,996285,1011361,1022660,1028768,1031685,1034692,1038136,1042310,1046818,1051489,1055932,1060033,1063608,1067568,1072487,1077305,1080912,1085469,1092408,1098753,1103191,1105867,1105271,1101564,1097397,1094729,1094053,1094418
16,544971,568447,592678,617480,642504,667317,691547,715057,737933,760386,782796,805440,828499,852296,876858,901676,925979,949089,970333,988662,1003277,1014008,1019881,1022533,1025523,1029297,1033301,1037862,1042867,1047427,1051084,1055360,1060798,1066376,1070911,1074832,1080872,1089112,1096531,1101478,1104155,1103565,1099789,1095399,1092520,1091628
