Hombres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,85985,91271,96588,101731,106617,111205,115295,119033,122819,126720,130107,132346,134050,135767,137451,139106,140726,142336,143961,145451,146546,147437,148203,148720,148955,148751,148573,148721,148891,149080,149274,149458,149671,150018,150556,150986,150984,150878,150945,151104,150857,149854,148504,147012,145443,143678
1,82368,87665,93075,98467,103683,108636,113285,117439,121289,125239,128638,130807,132429,134109,135741,137318,138846,140324,141799,143233,144382,145396,146618,147802,148622,149142,149447,149575,149616,149706,149756,149778,149989,150330,150875,151643,152035,152024,151994,152130,151867,150684,149180,147680,146094,144447
2,80103,85355,90758,96251,101735,107047,112092,116820,121053,124982,128291,130295,131702,133203,134724,136194,137611,138982,140313,141649,142965,144071,145228,146748,148138,149161,149979,150446,150500,150497,150472,150331,150332,150598,151052,151751,152496,152912,152977,153010,152697,151537,149950,148381,146860,145274
3,77865,83004,88368,93849,99424,104996,110391,115506,120304,124596,127840,129703,130929,132238,133615,135011,136357,137654,138912,140134,141505,142886,144068,145450,147118,148660,149849,150747,151178,151222,151104,150873,150698,150721,151051,151606,152314,153121,153614,153735,153294,152123,150637,149054,147522,146055
4,75594,80569,85811,91246,96804,102462,108114,113579,118761,123617,127208,128975,130057,131211,132430,133715,135023,136283,137496,138671,140042,141563,142979,144330,145819,147602,149229,150454,151339,151779,151686,151340,151071,150899,150954,151346,151946,152749,153634,154180,153818,152566,151124,149686,148186,146740
5,73296,78109,83175,88483,93992,99626,105361,111086,116619,121857,126008,128117,129110,130141,131233,132389,133616,134867,136068,137219,138626,140214,141745,143283,144714,146293,148102,149735,150965,151876,152147,151802,151424,151140,150970,151055,151521,152243,153123,154061,154132,153018,151553,150185,148847,147449
6,70968,75651,80548,85675,91049,96631,102340,108147,113942,119532,124072,126751,128094,129053,130049,131104,132224,133417,134631,135789,137231,138902,140480,142100,143698,145197,146765,148562,150212,151479,152183,152170,151799,151396,151093,150932,151116,151725,152522,153450,153932,153320,152039,150663,149404,148175
7,68600,73174,77936,82889,88079,93524,99177,104957,110835,116689,121596,124687,126617,127944,128887,129864,130903,132011,133186,134374,135862,137599,139248,140890,142553,144206,145673,147215,149037,150732,151750,152134,152105,151702,151266,150957,150913,151253,151935,152780,153280,153148,152406,151223,149959,148811
8,66172,70661,75311,80128,85141,90397,95911,101636,107487,113426,118618,122114,124482,126409,127737,128681,129662,130707,131813,132980,134521,136321,138026,139714,141384,143091,144699,146138,147711,149584,150984,151646,152025,151960,151512,151057,150879,150998,151411,152137,152585,152546,152321,151680,150610,149459
9,63641,68079,72643,77349,82225,87302,92627,98212,104008,109922,115224,119054,121859,124239,126186,127533,128499,129506,130568,131686,133215,135068,136828,138551,140253,141952,143609,145197,146670,148299,149832,150838,151503,151846,151730,151259,150943,150926,151110,151559,151924,151913,151818,151694,151165,150208
10,60973,65382,69897,74519,79285,84226,89371,94765,100423,106288,111596,115596,118775,121611,124028,126011,127401,128414,129460,130556,132029,133851,135653,137409,139131,140849,142504,144153,145779,147311,148552,149655,150677,151310,151599,151456,151124,150960,150999,151212,151341,151325,151287,151292,151280,150862
11,58211,62599,67086,71661,76345,81179,86189,91404,96872,102600,107891,111960,115349,118574,121460,123930,125969,127418,128485,129581,131010,132750,134522,136308,138055,139788,141475,143138,144822,146504,147600,148377,149511,150509,151093,151362,151357,151159,151035,151087,151023,150849,150827,150879,150985,151072
12,55423,59779,64248,68800,73441,78196,83099,88181,93469,99006,104191,108305,111800,115242,118524,121469,124001,126109,127623,128748,130142,131807,133500,135252,137033,138795,140514,142219,143906,145636,146837,147446,148274,149396,150356,150933,151329,151435,151259,151129,150955,150663,150486,150532,150664,150848
13,52648,56944,61382,65916,70535,75247,80074,85050,90204,95559,100578,104641,108211,111758,115255,118595,121603,124206,126379,127951,129336,130929,132552,134225,135976,137779,139540,141285,143003,144725,145953,146668,147354,148185,149278,150242,150937,151428,151545,151351,151053,150718,150417,150284,150383,150563
14,49892,54077,58447,62944,67540,72224,77004,81896,86936,92146,96997,100941,104476,108083,111672,115215,118608,121674,124331,126554,128340,129878,131420,133006,134677,136463,138270,140060,141800,143544,144792,145595,146438,147142,147940,149044,150138,150941,151479,151600,151302,150910,150554,150267,150159,150281
15,47150,51174,55417,59829,64372,69018,73757,78589,83530,88606,93318,97129,100549,104099,107722,111330,114902,118331,121428,124108,126487,128381,129849,131309,132883,134603,136377,138203,139964,141720,143052,144000,145019,145890,146536,147344,148621,149882,150838,151457,151543,151213,150782,150416,150132,150021
16,44413,48287,52350,56618,61058,65634,70319,75096,79960,84917,89500,93204,96495,99901,103437,107050,110659,114238,117666,120757,123535,125994,127809,129133,130567,132197,133863,135619,137392,139149,140514,141678,142958,144011,144779,145418,146468,148006,149569,150718,151371,151484,151096,150632,150250,149941
17,41797,45457,49360,53436,57720,62184,66792,71507,76305,81173,85650,89265,92460,95716,99088,102593,106187,109783,113340,116734,119872,122730,125123,126736,128018,129502,131023,132613,134296,136029,137331,138615,140224,141531,142423,143155,144099,145502,147482,149340,150585,151321,151358,150919,150427,150002
18,39360,42822,46507,50421,54512,58820,63316,67954,72691,77490,81900,85455,88579,91730,94944,98276,101753,105325,108886,112396,115813,119048,121867,124031,125589,126902,128224,129602,131105,132708,133866,135108,136915,138538,139632,140452,141519,142877,144815,147156,149164,150539,151178,151148,150673,150126
19,37063,40408,43897,47597,51534,55657,60004,64537,69203,73947,78319,81859,84947,88029,91141,94316,97620,101073,104608,108123,111645,115175,118403,121006,123105,124663,125782,126910,128196,129584,130483,131552,133353,135160,136536,137527,138667,140156,142083,144406,146939,149117,150377,150940,150872,150332
20,35241,38155,41534,45047,48778,52758,56929,61322,65893,70576,74924,78478,81579,84630,87675,90752,93904,97189,100611,104106,107636,111285,114835,117883,120422,122494,123838,124728,125766,126919,127510,128262,129877,131669,133224,134480,135740,137268,139312,141611,144158,146891,148940,150116,150638,150501
21,33772,36383,39330,42744,46295,50077,54115,58341,62782,67380,71697,75277,78417,81486,84509,87525,90583,93721,96981,100370,103888,107551,111237,114649,117641,120134,121992,123097,123905,124805,125102,125475,126738,128343,129901,131334,132784,134366,136406,138786,141332,144104,146698,148657,149797,150246
22,32354,34959,37601,40579,44040,47650,51498,55598,59879,64355,68617,72212,75403,78517,81563,84561,87562,90608,93725,96959,100383,104033,107743,111335,114702,117639,119931,121550,122582,123256,123276,123289,124121,125378,126783,128231,129776,131465,133501,135830,138478,141272,143897,146396,148320,149385
23,31101,33567,36209,38880,41901,45428,49107,53020,57181,61504,65667,69245,72474,75644,78740,81766,84752,87744,90772,93866,97144,100701,104406,108055,111609,114919,117673,119745,121307,122214,122010,121686,122101,122934,124030,125347,126828,128526,130605,132882,135494,138404,141046,143576,146045,147896
24,29985,32324,34827,37504,40216,43295,46895,50642,54617,58823,62853,66370,69602,72814,75969,79049,82063,85041,88017,91024,94174,97584,101192,104861,108482,111982,115132,117692,119721,121173,121217,120618,120641,121064,121778,122812,124091,125644,127673,129950,132524,135411,138165,140713,143217,145610
25,28986,31203,33578,36118,38840,41603,44744,48413,52222,56245,60176,63590,66778,69998,73198,76338,79408,82416,85377,88335,91409,94690,98148,101739,105386,108954,112319,115306,117836,119771,120383,119989,119685,119725,120071,120752,121689,122969,124801,126988,129568,132423,135154,137817,140342,142773
26,28061,30184,32436,34847,37431,40208,43024,46224,49958,53814,57575,60920,64019,67195,70404,73591,76724,79788,82780,85724,88760,91966,95291,98744,102316,105915,109371,112597,115566,118022,119147,119286,119142,118866,118865,119205,119739,120615,122130,124090,126586,129453,132156,134797,137441,139897
27,27199,29228,31386,33672,36123,38759,41593,44459,47708,51492,55099,58296,61341,64430,67598,70794,73975,77103,80152,83129,86160,89328,92574,95902,99340,102868,106374,109719,112939,115848,117528,118161,118509,118399,118114,118132,118284,118703,119779,121397,123668,126452,129170,131787,134414,136990
28,26453,28325,30387,32575,34900,37402,40092,42976,45884,49173,52719,55785,58693,61727,64808,67966,71156,74332,77447,80481,83554,86722,89926,93178,96492,99887,103340,106760,110107,113282,115451,116625,117435,117823,117729,117485,117282,117273,117865,119026,120958,123518,126157,128791,131396,133959
29,25736,27533,29432,31524,33750,36121,38672,41406,44335,47274,50323,53350,56139,59037,62067,65139,68290,71477,74641,77740,80880,84094,87291,90504,93743,97016,100355,103745,107172,110486,112957,114615,115938,116791,117213,117177,116686,116287,116431,117094,118569,120785,123207,125770,128396,130935
30,24960,26765,28587,30511,32638,34907,37323,39916,42692,45653,48356,50896,53658,56437,59330,62350,65416,68565,71742,74893,78105,81385,84623,87832,91032,94233,97468,100765,104169,107575,110219,112179,113961,115330,116230,116721,116416,115702,115439,115647,116625,118381,120467,122815,125370,127932
31,24177,25929,27761,29607,31561,33727,36038,38492,41121,43926,46661,48870,51149,53903,56679,59564,62579,65644,68784,71949,75217,78570,81873,85122,88319,91484,94665,97878,101193,104583,107349,109486,111551,113380,114805,115781,115986,115440,114853,114652,115172,116425,118056,120071,122413,124906
