Mujeres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,83463,88632,93812,98847,103634,108132,112149,115822,119536,123355,126641,128753,130314,131882,133416,134923,136400,137868,139351,140734,141778,142645,143376,143833,144047,143883,143730,143810,143840,143935,144179,144406,144566,144807,145204,145539,145563,145578,145875,146211,145911,144682,142950,141143,139319,137223
1,80160,85391,90696,95971,101096,105969,110549,114649,118447,122333,125639,127676,129142,130657,132116,133521,134882,136199,137516,138805,139893,140939,142128,143139,143824,144328,144653,144703,144499,144347,144466,144731,145019,145268,145607,146181,146567,146684,146976,147454,147154,145683,143755,141854,140006,138014
2,77910,83108,88461,93864,99243,104477,109455,114132,118327,122221,125470,127369,128643,129998,131364,132668,133918,135126,136297,137478,138689,139826,141033,142395,143552,144455,145231,145632,145482,145144,144983,145070,145355,145673,145936,146382,147043,147556,147879,148289,148079,146607,144593,142631,140763,138867
3,75689,80786,86108,91553,97052,102530,107861,112925,117685,121957,125169,126959,128086,129280,130528,131780,132972,134111,135211,136281,137524,138871,140104,141422,142875,144191,145228,146009,146282,146046,145656,145419,145516,145808,146102,146428,146990,147807,148480,148875,148578,147237,145339,143379,141505,139669
4,73446,78394,83603,89008,94544,100139,105711,111127,116272,121106,124677,126402,127420,128492,129614,130788,131966,133084,134148,135174,136405,137846,139248,140547,141919,143493,144864,145867,146568,146790,146453,145942,145708,145798,146045,146369,146839,147580,148521,149239,148939,147581,145900,144100,142262,140471
5,71183,75976,81020,86306,91803,97434,103118,108776,114274,119491,123623,125705,126665,127651,128682,129760,130890,132024,133094,134107,135359,136826,138295,139733,141061,142523,144099,145418,146379,147057,147128,146620,146111,145860,145886,146134,146626,147293,148130,149100,149157,147886,146264,144699,143031,141310
6,68895,73563,78445,83561,88932,94519,100237,106008,111749,117323,121848,124507,125839,126786,127754,128765,129825,130936,132044,133085,134364,135873,137347,138829,140280,141677,143109,144628,145929,146885,147359,147207,146704,146174,145852,145870,146312,147016,147759,148610,148956,148135,146657,145155,143729,142193
7,66573,71135,75889,80838,86033,91490,97162,102966,108822,114644,119545,122628,124560,125898,126847,127816,128828,129887,130993,132093,133417,134956,136457,137930,139413,140916,142268,143645,145163,146472,147165,147363,147223,146705,146109,145778,146011,146679,147449,148197,148463,148019,147038,145680,144321,143034
8,64191,68673,73317,78138,83163,88439,93978,99737,105629,111569,116744,120249,122633,124586,125944,126912,127899,128930,130003,131116,132501,134075,135597,137085,138547,140067,141521,142828,144217,145750,146742,147111,147328,147177,146592,145986,145886,146351,147073,147841,148052,147624,147064,146202,144990,143777
9,61704,66144,70708,75420,80313,85415,90771,96396,102242,108221,113543,117375,120216,122640,124633,126027,127032,128059,129122,130222,131608,133216,134761,136255,137722,139206,140681,142108,143437,144849,146014,146635,147029,147238,147022,146429,146059,146185,146693,147403,147685,147305,146808,146373,145658,144596
