Mujeres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,80904,86022,91241,96383,101310,105957,110307,113990,117654,121417,125292,127990,129515,131113,132651,134181,135665,137135,138601,140100,141368,142188,143101,143650,144016,144077,143688,143772,143847,143832,144037,144320,144492,144640,144974,145434,145644,145481,145675,146074,146347,145474,143889,142010,140276,138362,136084
1,77576,82743,88039,93353,98588,103604,108333,112765,116532,120362,124303,126975,128377,129907,131407,132825,134216,135548,136850,138182,139428,140358,141520,142735,143542,144105,144551,144755,144651,144347,144347,144585,144876,145161,145374,145839,146523,146610,146757,147195,147713,146595,144770,142739,140969,139042,136986
2,75368,80451,85765,91157,96571,101915,107038,111871,116392,120261,124181,126758,127979,129306,130690,132037,133298,134537,135714,136880,138075,139302,140349,141716,143073,144031,144878,145584,145679,145284,145004,144961,145179,145531,145814,146058,146705,147380,147731,148026,148552,147606,145607,143579,141683,139842,137891
3,73211,78166,83406,88810,94295,99808,105251,110470,115379,119991,123923,126415,127503,128669,129891,131164,132395,133548,134674,135748,136813,138235,139506,140702,142141,143608,144773,145682,146335,146229,145862,145449,145389,145643,145972,146232,146623,147356,148258,148701,149048,148108,146365,144312,142446,140563,138774
4,71047,75845,80942,86263,91753,97335,102943,108478,113776,118767,123444,125910,126894,127945,129039,130189,131386,132546,133622,134673,135675,137134,138557,139939,141155,142682,144304,145424,146310,146826,146753,146153,145730,145685,145911,146178,146559,147119,148041,149000,149477,148401,146760,145039,143161,141362,139580
5,68850,73516,78435,83605,89007,94598,100270,105966,111585,116962,122019,125227,126183,127146,128155,129208,130312,131467,132581,133606,134608,136109,137542,139047,140418,141704,143342,144855,145981,146777,147336,146919,146321,145901,145818,145953,146315,146937,147649,148610,149589,148724,147047,145480,143917,142145,140474
6,66614,71175,75951,80938,86183,91681,97357,103116,108899,114599,120046,123650,125364,126313,127259,128249,129281,130369,131502,132586,133584,135144,136602,138092,139566,140993,142360,143858,145397,146461,147308,147409,147005,146403,145945,145758,145982,146641,147391,148127,149092,148820,147449,145865,144444,143013,141373
7,64342,68803,73467,78310,83366,88699,94280,100043,105889,111755,117532,121558,123698,125422,126374,127320,128311,129344,130430,131555,132630,134204,135707,137207,138653,140173,141658,142878,144412,145914,147030,147299,147427,147019,146391,145826,145729,146293,147065,147832,148562,148363,147674,146401,144959,143682,142385
8,61988,66393,70952,75682,80593,85732,91145,96811,102662,108595,114542,118946,121552,123714,125457,126431,127393,128404,129456,130549,131682,133320,134830,136364,137805,139289,140845,142196,143460,144974,146525,146958,147264,147392,146961,146223,145749,146022,146680,147466,148216,147888,147359,146768,145635,144344,143209
9,59517,63891,68396,73020,77819,82807,88023,93519,99272,105212,111229,115856,118893,121539,123741,125525,126529,127535,128582,129661,130782,132433,133999,135523,136987,138456,139955,141407,142808,144066,145631,146396,146874,147183,147292,146751,146107,146011,146359,147026,147780,147589,147020,146596,146149,145167,144025
10,56903,61261,65734,70304,74997,79873,84938,90235,95816,101660,107688,112449,115776,118870,121575,123836,125675,126745,127804,128902,130027,131592,133162,134728,136170,137648,139114,140552,142059,143468,144772,145452,146274,146761,147056,147054,146606,146329,146288,146629,147249,147195,146852,146396,146120,145818,144988
11,54198,58534,62991,67534,72174,76945,81896,87042,92425,98094,104028,108866,112396,115795,118961,121738,124070,125989,127128,128253,129412,130881,132362,133922,135404,136856,138318,139778,141269,142785,144237,144565,145320,146158,146637,146828,146921,146818,146574,146511,146795,146746,146612,146370,146053,145910,145748
12,51484,55768,60206,64737,69351,74072,78919,83953,89183,94650,100411,105219,108894,112501,115977,119224,122080,124497,126495,127704,128901,130289,131677,133150,134636,136131,137567,139075,140574,142074,143622,144028,144450,145231,146073,146459,146751,147152,147071,146788,146659,146412,146335,146279,146150,145934,145902
13,48821,53017,57405,61917,66523,71219,76018,80948,86067,91383,96939,101632,105341,109094,112778,116333,119659,122599,125095,127165,128443,129753,131071,132464,133868,135379,136867,138382,139924,141427,142944,143416,143939,144397,145193,145946,146447,147001,147426,147287,146940,146406,146164,146132,146156,146089,145953
14,46251,50312,54607,59069,63659,68345,73121,78003,83017,88219,93619,98163,101812,105593,109416,113172,116799,120201,123215,125777,127911,129201,130444,131778,133098,134548,136061,137643,139191,140735,142246,142687,143307,143879,144368,145069,145957,146676,147270,147634,147439,146795,146289,146061,146079,146128,146113
15,43783,47683,51839,56206,60740,65409,70175,75033,79995,85090,90371,94807,98354,102068,105906,109787,113599,117290,120751,123816,126430,128485,129706,130977,132232,133627,135082,136682,138304,139865,141407,141839,142486,143176,143795,144161,145035,146107,146897,147464,147783,147385,146783,146261,146056,146067,146144
16,41399,45157,49144,53362,57795,62406,67150,71993,76930,81969,87135,91498,94980,98579,102333,106213,110131,113992,117721,121217,124312,126768,128755,130015,131199,132560,133958,135479,137131,138785,140338,140762,141481,142217,142976,143432,144022,145061,146253,147067,147599,147799,147450,146807,146293,146052,146073
17,39095,42718,46557,50600,54880,59383,64065,68883,73804,78813,83919,88209,91658,95179,98803,102583,106480,110429,114307,118051,121556,124438,126831,128866,130036,131352,132707,134138,135725,137444,139079,139429,140230,141056,141884,142435,143172,143911,145112,146394,147183,147671,147924,147515,146873,146294,146055
18,36905,40379,44079,47967,52066,56411,60981,65736,70630,75620,80695,84966,88383,91859,95391,99025,102809,106721,110670,114547,118280,121535,124371,126808,128767,130085,131393,132734,134244,135934,137622,137944,138750,139673,140614,141199,142078,142937,143883,145222,146484,147300,147840,148020,147612,146881,146303
19,34858,38172,41716,45465,49406,53566,57975,62618,67445,72410,77467,81748,85181,88616,92094,95627,99254,103038,106938,110872,114726,118196,121431,124304,126693,128800,130103,131355,132787,134431,136080,136354,137191,138121,139177,139856,140793,141760,142851,143955,145284,146632,147506,147963,148144,147634,146906
20,33483,36116,39495,43088,46888,50890,55115,59593,64310,69210,74242,78547,82026,85473,88903,92374,95893,99511,103276,107156,111059,114655,118137,121397,124251,126777,128867,130081,131429,133016,134613,134774,135587,136543,137620,138408,139451,140427,141633,142891,143991,145458,146868,147648,148115,148187,147680
21,31962,34755,37432,40860,44505,48368,52434,56726,61279,66068,71036,75356,78895,82384,85822,89240,92692,96198,99793,103532,107373,111046,114680,118176,121453,124424,126935,128914,130225,131739,133284,133351,134047,134972,136075,136896,138043,139059,140279,141636,142892,144185,145719,147028,147826,148176,148254
22,30599,33236,36082,38787,42266,45974,49901,54036,58401,63026,67885,72178,75769,79315,82794,86218,89615,93052,96532,100097,103798,107444,111176,114816,118356,121726,124691,127082,129153,130636,132111,132112,132695,133488,134558,135431,136593,137642,138894,140239,141602,143104,144461,145890,147229,147906,148269
23,29389,31869,34555,37440,40174,43718,47490,51485,55693,60129,64825,69044,72642,76237,79772,83236,86637,90017,93427,96874,100402,103956,107679,111409,115112,118725,122096,124940,127419,129663,131118,131061,131536,132204,133139,134007,135196,136191,137465,138819,140172,141832,143396,144643,146107,147324,148014
24,28299,30648,33173,35897,38821,41596,45203,49043,53111,57388,61892,65977,69533,73135,76720,80240,83683,87068,90421,93799,97209,100640,104277,107995,111801,115560,119182,122441,125370,128019,130249,130190,130564,131116,131915,132678,133840,134792,136001,137351,138717,140415,142130,143578,144870,146209,147439
25,27330,29535,31927,34485,37245,40222,43038,46710,50620,54758,59101,63024,66474,70033,73624,77195,80696,84121,87480,90801,94144,97517,101035,104664,108467,112317,116090,119609,122948,126041,128686,129435,129762,130201,130877,131538,132574,133432,134591,135851,137221,138966,140713,142309,143810,144977,146329
26,26405,28535,30779,33202,35795,38604,41630,44486,48225,52204,56405,60193,63507,66961,70509,74091,77643,81127,84528,87858,91144,94509,97970,101477,105196,109029,112899,116583,120180,123672,126774,127980,129062,129450,130004,130573,131482,132162,133213,134406,135693,137471,139259,140884,142538,143915,145091
27,25575,27567,29735,32006,34460,37098,39952,43028,45927,49729,53770,57440,60647,63962,67405,70945,74507,78046,81508,84882,88179,91548,94996,98450,102052,105792,109650,113439,117196,120931,124444,126145,127644,128784,129280,129756,130555,131058,131921,132994,134220,135935,137752,139421,141107,142637,144024
28,24888,26690,28715,30909,33209,35703,38382,41281,44407,47344,51206,54738,57852,61057,64364,67796,71320,74869,78388,81825,85169,88605,92060,95503,99047,102664,106430,110218,114073,117955,121723,123879,125835,127388,128629,129069,129757,130110,130790,131667,132783,134452,136201,137895,139628,141196,142735
29,24119,25952,27779,29826,32046,34383,36914,39632,42578,45751,48722,52098,55095,58208,61404,64701,68120,71630,75162,78657,82064,85607,89125,92574,96110,99662,103312,107010,110857,114829,118750,121202,123581,125589,127235,128443,129077,129292,129815,130506,131431,132995,134696,136326,138087,139707,141281
30,23326,25122,26982,28826,30895,33150,35516,38085,40845,43832,47046,49531,52396,55391,58496,61682,64964,68372,71866,75377,78843,82505,86125,89643,93183,96721,100310,103893,107648,111601,115616,118264,120909,123333,125426,127054,128436,128581,128961,129500,130249,131620,133212,134798,136498,138154,139780
31,22552,24263,26085,27962,29823,31922,34207,36606,39209,42006,45030,47781,49766,52628,55615,58711,61882,65155,68546,72020,75503,79271,83009,86632,90239,93781,97360,100885,104521,108375,112377,115150,117965,120652,123152,125239,127024,127913,128224,128621,129228,130410,131810,133295,134953,136557,138217
32,21819,23425,25163,27000,28897,30780,32903,35217,37646,40282,43109,45686,47956,49936,52789,55768,58849,62013,65271,68641,72090,75919,79763,83506,87214,90826,94409,97928,101503,105228,109131,111921,114840,117689,120443,122944,125172,126479,127531,127866,128344,129360,130576,131873,133435,135004,136614
33,21113,22630,24257,26007,27864,29785,31684,33831,36172,38627,41291,43684,45799,48065,50035,52879,55847,58920,62070,65309,68659,72490,76388,80242,84071,87784,91436,94966,98531,102189,105961,108678,111590,114544,117450,120210,122836,124615,126078,127160,127584,128439,129493,130619,131997,133480,135060
34,20425,21864,23402,25037,26802,28681,30620,32537,34706,37072,39549,41793,43744,45855,48112,50073,52906,55866,58927,62060,65279,69042,72939,76853,80786,84621,88380,91981,95553,99196,102904,105511,108331,111272,114270,117185,120053,122272,124203,125703,126880,127643,128551,129521,130733,132046,133540
35,19766,21122,22576,24120,25767,27552,29447,31403,33335,35524,37908,39982,41802,43749,45851,48101,50051,52878,55828,58871,61988,65645,69471,73387,77375,81318,85196,88908,92551,96193,99886,102443,105138,107982,110961,113973,116983,119493,121858,123828,125424,126895,127724,128558,129624,130779,132110
36,19113,20408,21777,23239,24790,26455,28254,30164,32135,34082,36284,38281,39948,41765,43704,45800,48040,49987,52804,55738,58768,62339,66055,69898,73885,77885,81871,85707,89458,93167,96861,99417,102048,104765,107639,110630,113721,116429,119076,121481,123550,125394,126950,127717,128651,129674,130850
37,18461,19709,21017,22390,23854,25422,27096,28909,30833,32819,34774,36604,38212,39877,41686,43619,45707,47944,49882,52685,55606,59105,62733,66466,70378,74372,78415,82362,86237,90049,93814,96382,99000,101648,104388,107275,110333,113178,116013,118702,121204,123470,125422,126928,127802,128702,129751
38,17813,19014,20269,21580,22955,24434,26010,27693,29516,31454,33450,35045,36505,38110,39769,41575,43501,45586,47816,49745,52536,55933,59483,63125,66918,70837,74872,78880,82870,86803,90674,93323,95943,98573,101240,103991,106937,109803,112768,115641,118422,121077,123473,125384,126998,127850,128784
39,17131,18323,19533,20791,22103,23488,24974,26556,28249,30084,32029,33683,34926,36384,37985,39640,41438,43363,45443,47663,49582,52850,56291,59855,63553,67354,71309,75318,79369,83415,87406,90173,92864,95494,98136,100814,103613,106422,109401,112398,115361,118250,121054,123420,125444,127045,127931
40,16401,17606,18806,20016,21276,22597,23987,25478,27067,28769,30612,32232,33548,34788,36243,37840,39491,41289,43209,45279,47491,49886,53193,56648,60261,63960,67793,71731,75782,79886,83994,86894,89697,92394,95032,97685,100403,103116,106024,109032,112110,115139,118204,120986,123465,125483,127122
41,15609,16840,18054,19255,20466,21735,23059,24454,25949,27546,29253,30785,32085,33402,34638,36091,37682,39332,41126,43038,45099,47784,50210,53529,57024,60638,64367,68193,72174,76279,80444,83473,86401,89206,91909,94556,97247,99919,102723,105656,108737,111847,115073,118119,121015,123496,125549
42,14956,16015,17256,18473,19675,20894,22165,23493,24892,26394,27994,29405,30634,31935,33245,34482,35928,37521,39166,40952,42857,45384,48095,50524,53877,57371,61008,64747,68615,72646,76809,79917,82969,85899,88706,91419,94097,96778,99533,102356,105352,108436,111766,114978,118133,121035,123545
43,14192,15335,16401,17645,18865,20075,21297,22571,23902,25305,26810,28129,29253,30481,31776,33086,34318,35765,37353,38991,40772,43129,45678,48391,50846,54194,57707,61370,65147,69063,73152,76278,79403,82454,85385,88202,90941,93643,96396,99167,102046,105021,108342,111656,114972,118136,121064
44,13577,14543,15695,16760,18011,19241,20454,21678,22955,24289,25695,26932,27977,29101,30325,31617,32921,34156,35599,37180,38814,41030,43407,45953,48692,51133,54495,58051,61751,65574,69546,72619,75759,78883,81935,84876,87716,90503,93265,96028,98844,101684,104911,108218,111631,114954,118141
45,12983,13906,14876,16033,17101,18362,19595,20811,22038,23321,24656,25806,26783,27827,28947,30168,31457,32761,33991,35429,37005,39059,41290,43662,46230,48953,51395,54820,58412,62151,66026,69009,72098,75236,78359,81421,84383,87286,90124,92893,95696,98457,101563,104773,108175,111593,114934
46,12390,13291,14219,15192,16350,17428,18695,19931,21152,22383,23666,24759,25660,26637,27678,28795,30010,31300,32600,33825,35257,37236,39302,41527,43913,46462,49187,51707,55161,58787,62576,65494,68489,71575,74715,77847,80928,83960,86907,89746,92546,95287,98325,101412,104712,108115,111547
47,11805,12679,13587,14515,15487,16659,17739,19011,20253,21477,22709,23760,24616,25518,26489,27528,28639,29855,31139,32434,33655,35473,37460,39517,41750,44116,46663,49483,52024,55511,59178,62048,64975,67970,71054,74204,77352,80507,83577,86522,89389,92118,95144,98165,101335,104635,108045
48,11229,12078,12957,13865,14794,15775,16954,18035,19313,20561,21787,22797,23621,24477,25374,26343,27376,28488,29699,30978,32268,33855,35678,37653,39714,41929,44287,46942,49783,52345,55871,58657,61533,64460,67450,70546,73708,76933,80120,83186,86157,88946,91968,94974,98073,101242,104547
49,10670,11488,12341,13220,14129,15067,16050,17232,18317,19601,20851,21865,22658,23483,24334,25229,26192,27226,28335,29538,30811,32450,34038,35848,37825,39863,42071,44548,47223,50082,52674,55358,58148,61021,63944,66945,70049,73289,76539,79721,82809,85695,88786,91790,94869,97967,101134
50,10137,10915,11737,12589,13469,14387,15324,16308,17497,18583,19870,20917,21727,22521,23341,24190,25079,26045,27073,28175,29375,30976,32614,34188,35996,37950,39978,42314,44806,47494,50382,52168,54855,57644,60508,63437,66446,69628,72886,76136,79337,82335,85527,88597,91670,94747,97842
51,9646,10372,11152,11973,12825,13713,14631,15569,16555,17746,18834,19929,20782,21591,22378,23196,24039,24929,25890,26914,28011,29518,31118,32740,34309,36093,38033,40201,42546,45052,47762,49880,51675,54353,57130,60004,62933,66021,69220,72482,75748,78853,82158,85328,88463,91536,94606
52,9203,9870,10596,11374,12194,13055,13941,14858,15797,16784,17975,18881,19794,20646,21448,22234,23045,23891,24776,25731,26749,28135,29638,31221,32837,34382,36148,38237,40411,42766,45288,47264,49381,51176,53845,56625,59491,62506,65610,68814,72087,75250,78664,81950,85182,88314,91376
53,8813,9416,10081,10805,11582,12408,13266,14152,15069,16006,16990,18012,18745,19657,20501,21304,22081,22894,23735,24616,25567,26852,28232,29719,31292,32883,34410,36330,38425,40600,42970,44793,46770,48880,50666,53333,56107,59064,62093,65199,68415,71577,75049,78441,81784,85014,88134
54,8478,9017,9617,10277,10996,11777,12601,13456,14340,15255,16188,17012,17871,18607,19510,20353,21147,21928,22737,23572,24449,25647,26929,28290,29767,31315,32888,34572,36492,38588,40775,42479,44301,46268,48362,50156,52810,55680,58649,61684,64800,67894,71364,74814,78259,81602,84818
55,8195,8673,9206,9798,10453,11177,11954,12773,13626,14507,15414,16198,16873,17733,18462,19361,20197,20993,21771,22575,23406,24511,25704,26965,28314,29765,31291,33026,34709,36628,38731,40287,41987,43797,45746,47839,49623,52382,55263,58235,61277,64262,67662,71114,74614,78059,81388
56,7950,8377,8847,9371,9956,10613,11331,12104,12919,13766,14638,15407,16054,16731,17585,18312,19204,20043,20835,21608,22409,23450,24548,25721,26968,28289,29718,31408,33138,34817,36742,38243,39793,41480,43270,45216,47293,49199,51968,54848,57824,60726,64019,67401,70900,74398,77827
57,7732,8121,8538,8997,9513,10101,10750,11460,12227,13036,13875,14618,15265,15913,16584,17436,18156,19051,19886,20675,21446,22436,23469,24545,25702,26922,28222,29813,31499,33220,34901,36258,37749,39283,40949,42734,44659,46868,48786,51552,54433,57265,60472,63748,67173,70669,74151
58,7526,7891,8268,8674,9123,9638,10216,10858,11562,12320,13120,13842,14476,15123,15766,16436,17279,18004,18894,19724,20511,21451,22431,23446,24506,25636,26834,28296,29882,31558,33282,34421,35764,37239,38751,40409,42174,44241,46451,48370,51131,53863,56997,60188,63503,66923,70399
59,7319,7670,8022,8387,8781,9231,9735,10303,10937,11634,12383,13076,13698,14334,14975,15616,16279,17124,17847,18732,19560,20496,21427,22391,23388,24424,25532,26891,28343,29919,31595,32799,33925,35251,36704,38209,39841,41755,43820,46026,47942,50554,53581,56698,59922,63228,66628
60,7102,7447,7785,8125,8478,8872,9310,9805,10365,10991,11676,12330,12936,13560,14189,14826,15461,16127,16969,17684,18565,19526,20455,21370,22317,23290,24306,25570,26917,28357,29929,31113,32306,33414,34717,36157,37636,39426,41334,43388,45581,47357,50258,53269,56409,59619,62902
61,6870,7212,7543,7869,8196,8552,8933,9362,9849,10400,11013,11615,12191,12799,13413,14038,14668,15306,15966,16800,17511,18510,19463,20379,21279,22205,23159,24324,25578,26911,28350,29455,30624,31795,32881,34171,35584,37223,38998,40895,42930,44982,47049,49928,52955,56081,59261
62,6628,6963,7291,7611,7925,8254,8595,8968,9387,9866,10407,10948,11481,12055,12652,13263,13878,14508,15139,15793,16617,17437,18430,19370,20271,21152,22061,23155,24312,25549,26879,27877,28967,30115,31257,32335,33598,35167,36790,38548,40420,42323,44656,46701,49590,52597,55683
63,6381,6700,7021,7339,7648,7963,8282,8614,8979,9391,9859,10333,10812,11344,11909,12500,13098,13712,14336,14955,15602,16526,17341,18322,19249,20133,20997,22037,23122,24263,25496,26411,27394,28462,29578,30712,31761,33179,34725,36327,38056,39803,41979,44284,46340,49204,52167
64,6132,6431,6737,7048,7356,7668,7974,8283,8609,8967,9369,9777,10198,10675,11195,11752,12330,12925,13528,14140,14751,15493,16413,17218,18186,19096,19964,20950,21980,23051,24186,25029,25928,26886,27926,29029,30131,31333,32722,34244,35813,37431,39444,41588,43898,45929,48749
65,5878,6161,6448,6744,7046,7358,7662,7959,8262,8583,8933,9280,9640,10059,10522,11032,11576,12149,12734,13324,13924,14629,15366,16277,17069,18022,18917,19893,20869,21886,22953,23716,24542,25420,26349,27376,28447,29690,30861,32225,33709,35182,37056,39037,41184,43462,45452
